1_predict,2_predict,3_predict
0.64507926,0.6391737,0.651648
0.6525509,0.64530665,0.67108405
0.6453467,0.64741963,0.6716142
0.6444811,0.6448226,0.6719496
0.6639785,0.64797795,0.66894996
0.6655366,0.6468335,0.66585106
0.66489047,0.65014935,0.6638796
0.66812885,0.6501441,0.6627781
0.66919684,0.65063035,0.6463802
0.6583585,0.6505597,0.6495871
0.66824496,0.6520828,0.647735
0.6666905,0.6522853,0.6501432
0.6666541,0.64793646,0.64703953
0.6684252,0.6488518,0.64713943
0.66780084,0.6462146,0.6444806
0.65627384,0.6455552,0.6432368
0.6557644,0.63887894,0.64641047
0.65452015,0.6397114,0.64899373
0.64902484,0.6349936,0.64515275
0.6468047,0.6347714,0.6392284
0.65045613,0.6352121,0.6395946
0.64493597,0.63542885,0.6395369
0.66125447,0.633315,0.6451167
0.6552701,0.6326147,0.6446733
0.6543703,0.6329459,0.6429697
0.65409946,0.63317525,0.64440185
0.6560276,0.6349376,0.6498998
0.65522176,0.64151883,0.64958286
0.6511302,0.64671785,0.6461988
0.65364665,0.6495908,0.64716417
0.6532919,0.6479097,0.64759046
0.65364665,0.6490599,0.66538864
0.6506634,0.6472287,0.6659546
0.6505149,0.64720714,0.6639115
0.64959157,0.64630383,0.645454
0.6464475,0.64290863,0.65001976
0.63142514,0.63620454,0.64401287
0.6312506,0.63676697,0.63820374
0.63007766,0.6379244,0.639462
0.63626456,0.63898075,0.63763744
0.6447255,0.6384134,0.6381341
0.64407116,0.636548,0.6352024
0.6255875,0.63566464,0.6275932
0.62324965,0.63381463,0.62662834
0.6232271,0.6436626,0.6296195
0.6276016,0.64204276,0.62291396
0.6239936,0.6452856,0.6219908
0.6259613,0.64605254,0.6209014
0.66804916,0.6434422,0.62165904
0.6295337,0.6380406,0.62191385
0.63347167,0.6380692,0.623725
0.6408268,0.63952965,0.62996745
0.66043735,0.6417394,0.638222
0.6607581,0.6441687,0.6399843
0.6606585,0.64806676,0.63415974
0.6557182,0.6458603,0.64445543
0.6628645,0.6557866,0.6441424
0.66601235,0.6549787,0.64583886
0.6630266,0.67041785,0.6626729
0.6749576,0.6604739,0.6625502
0.66104305,0.6571919,0.65525967
0.6646805,0.6539797,0.6550581
0.6646078,0.6553135,0.6448528
0.6646078,0.64532954,0.65792805
0.65624106,0.64812475,0.65792805
0.65284926,0.64513844,0.6408494
0.6674296,0.6425188,0.64015746
0.6668866,0.6450257,0.64596355
0.67540544,0.66061366,0.6488182
0.6758123,0.66450274,0.65862685
0.6768479,0.66450274,0.68051726
0.6203915,0.66450274,0.6469427
0.6142688,0.66450274,0.6152524
0.6148451,0.66450274,0.61471593
